,car,glass,plate,truck,Vehicles,Dinnerware,closer2vehicles,closer2dinnerware
0,0.0019347667694091797,0.002163529396057129,0.002492368221282959,0.0015887618064880371,0.0017617642879486084,0.002327948808670044,True,False
1,0.001997232437133789,0.001523137092590332,0.0020442605018615723,0.0017582178115844727,0.0018777251243591309,0.0017836987972259521,False,True
2,0.002489745616912842,0.0031244754791259766,0.0035881996154785156,0.0018820762634277344,0.002185910940170288,0.003356337547302246,True,False
3,0.002247929573059082,0.0015164017677307129,0.0029549598693847656,0.002686917781829834,0.002467423677444458,0.0022356808185577393,False,True
4,0.003491520881652832,0.0021532773971557617,0.00214463472366333,0.0017304420471191406,0.0026109814643859863,0.002148956060409546,False,True
5,0.001373291015625,0.0028493404388427734,0.002425551414489746,0.002216637134552002,0.001794964075088501,0.0026374459266662598,True,False
6,0.0016376376152038574,0.001910090446472168,0.001577615737915039,0.0014403462409973145,0.001538991928100586,0.0017438530921936035,True,False
7,0.0017144083976745605,0.0025957226753234863,0.002428412437438965,0.0028954744338989258,0.002304941415786743,0.0025120675563812256,True,False
8,0.0029165148735046387,0.0022142529487609863,0.0026953816413879395,0.004780411720275879,0.003848463296890259,0.002454817295074463,False,True
9,0.002556025981903076,0.0018596649169921875,0.003491044044494629,0.0013691186904907227,0.0019625723361968994,0.002675354480743408,True,False
10,0.001512765884399414,0.0032461881637573242,0.0021182894706726074,0.0021780729293823242,0.0018454194068908691,0.002682238817214966,True,False
11,0.002734541893005371,0.0035553574562072754,0.0020874738693237305,0.0021573901176452637,0.0024459660053253174,0.002821415662765503,True,False
12,0.002893388271331787,0.0032795071601867676,0.0027088522911071777,0.0019327998161315918,0.0024130940437316895,0.0029941797256469727,True,False
13,0.002424895763397217,0.0030841827392578125,0.0020201802253723145,0.0024935007095336914,0.002459198236465454,0.0025521814823150635,True,False
14,0.0033185482025146484,0.005488157272338867,0.004054903984069824,0.003449678421020508,0.003384113311767578,0.004771530628204346,True,False
15,0.0016844868659973145,0.002107560634613037,0.004407763481140137,0.0021297335624694824,0.0019071102142333984,0.003257662057876587,True,False
16,0.0015033483505249023,0.001810610294342041,0.0016815662384033203,0.0013140439987182617,0.001408696174621582,0.0017460882663726807,True,False
