,smash,stop,Vehicles,Dinnerware,closer2vehicles,closer2dinnerware
2383,0.14710783958435059,0.14024263620376587,0.14024263620376587,0.14710783958435059,True,False
2384,0.14040732383728027,0.10611552000045776,0.10611552000045776,0.14040732383728027,True,False
2385,0.11914592981338501,0.06845247745513916,0.06845247745513916,0.11914592981338501,True,False
2386,0.08992898464202881,0.07332336902618408,0.07332336902618408,0.08992898464202881,True,False
2387,0.1615787148475647,0.11333751678466797,0.11333751678466797,0.1615787148475647,True,False
2388,0.10653626918792725,0.08799988031387329,0.08799988031387329,0.10653626918792725,True,False
2389,0.13590246438980103,0.08457726240158081,0.08457726240158081,0.13590246438980103,True,False
2390,0.15871846675872803,0.09828495979309082,0.09828495979309082,0.15871846675872803,True,False
2391,0.13484710454940796,0.07134217023849487,0.07134217023849487,0.13484710454940796,True,False
2392,0.10746437311172485,0.060218095779418945,0.060218095779418945,0.10746437311172485,True,False
2393,0.15645825862884521,0.08502447605133057,0.08502447605133057,0.15645825862884521,True,False
2394,0.05759209394454956,0.040207743644714355,0.040207743644714355,0.05759209394454956,True,False
2395,0.2399178147315979,0.15701550245285034,0.15701550245285034,0.2399178147315979,True,False
2396,0.07495278120040894,0.06729865074157715,0.06729865074157715,0.07495278120040894,True,False
2397,0.11046761274337769,0.0816684365272522,0.0816684365272522,0.11046761274337769,True,False
2398,0.13684099912643433,0.09147834777832031,0.09147834777832031,0.13684099912643433,True,False
2399,0.10359776020050049,0.07056397199630737,0.07056397199630737,0.10359776020050049,True,False
2400,0.15432822704315186,0.10469281673431396,0.10469281673431396,0.15432822704315186,True,False
2401,0.20040136575698853,0.09346288442611694,0.09346288442611694,0.20040136575698853,True,False
2402,0.10038918256759644,0.05519968271255493,0.05519968271255493,0.10038918256759644,True,False
2403,0.139897882938385,0.13189393281936646,0.13189393281936646,0.139897882938385,True,False
2404,0.14550113677978516,0.09095162153244019,0.09095162153244019,0.14550113677978516,True,False
2405,0.15217363834381104,0.08871716260910034,0.08871716260910034,0.15217363834381104,True,False
2406,0.1359485387802124,0.07124412059783936,0.07124412059783936,0.1359485387802124,True,False
2407,0.1106157898902893,0.08343613147735596,0.08343613147735596,0.1106157898902893,True,False
2408,0.13826555013656616,0.08853119611740112,0.08853119611740112,0.13826555013656616,True,False
2409,0.16240227222442627,0.14942258596420288,0.14942258596420288,0.16240227222442627,True,False
2410,0.07050955295562744,0.08859699964523315,0.08859699964523315,0.07050955295562744,False,True
2411,0.06789076328277588,0.058393001556396484,0.058393001556396484,0.06789076328277588,True,False
2412,0.14141440391540527,0.109275221824646,0.109275221824646,0.14141440391540527,True,False
2413,0.10873836278915405,0.06101959943771362,0.06101959943771362,0.10873836278915405,True,False
2414,0.09351080656051636,0.05241656303405762,0.05241656303405762,0.09351080656051636,True,False
2415,0.11642181873321533,0.10168540477752686,0.10168540477752686,0.11642181873321533,True,False
2416,0.12330299615859985,0.09592080116271973,0.09592080116271973,0.12330299615859985,True,False
2417,0.06412053108215332,0.049559056758880615,0.049559056758880615,0.06412053108215332,True,False
2418,0.08181816339492798,0.037630558013916016,0.037630558013916016,0.08181816339492798,True,False
2419,0.15239834785461426,0.13516610860824585,0.13516610860824585,0.15239834785461426,True,False
2420,0.1190568208694458,0.05684417486190796,0.05684417486190796,0.1190568208694458,True,False
2421,0.09947711229324341,0.06807589530944824,0.06807589530944824,0.09947711229324341,True,False
2422,0.07984715700149536,0.07228273153305054,0.07228273153305054,0.07984715700149536,True,False
2423,0.09037625789642334,0.07750153541564941,0.07750153541564941,0.09037625789642334,True,False
2424,0.1253562569618225,0.07834053039550781,0.07834053039550781,0.1253562569618225,True,False
2425,0.13100171089172363,0.0992470383644104,0.0992470383644104,0.13100171089172363,True,False
2426,0.08498972654342651,0.07486337423324585,0.07486337423324585,0.08498972654342651,True,False
2427,0.1040949821472168,0.08602696657180786,0.08602696657180786,0.1040949821472168,True,False
2428,0.09031575918197632,0.07128053903579712,0.07128053903579712,0.09031575918197632,True,False
2429,0.08602887392044067,0.04932081699371338,0.04932081699371338,0.08602887392044067,True,False
2430,0.08839994668960571,0.05807298421859741,0.05807298421859741,0.08839994668960571,True,False
2431,0.09471791982650757,0.10181277990341187,0.10181277990341187,0.09471791982650757,False,True
2432,0.12051934003829956,0.11057543754577637,0.11057543754577637,0.12051934003829956,True,False
2433,0.24966484308242798,0.17687863111495972,0.17687863111495972,0.24966484308242798,True,False
2434,0.12445056438446045,0.08034348487854004,0.08034348487854004,0.12445056438446045,True,False
2435,0.16955065727233887,0.1462501883506775,0.1462501883506775,0.16955065727233887,True,False
2436,0.10468125343322754,0.09839469194412231,0.09839469194412231,0.10468125343322754,True,False
2437,0.2857981324195862,0.16277652978897095,0.16277652978897095,0.2857981324195862,True,False
2438,0.06752824783325195,0.05636155605316162,0.05636155605316162,0.06752824783325195,True,False
2439,0.1053500771522522,0.05669271945953369,0.05669271945953369,0.1053500771522522,True,False
2440,0.11309814453125,0.1361485719680786,0.1361485719680786,0.11309814453125,False,True
2441,0.10017174482345581,0.03949904441833496,0.03949904441833496,0.10017174482345581,True,False
2442,0.1377047896385193,0.10379898548126221,0.10379898548126221,0.1377047896385193,True,False
2443,0.1478365659713745,0.11276370286941528,0.11276370286941528,0.1478365659713745,True,False
2444,0.07822984457015991,0.05828738212585449,0.05828738212585449,0.07822984457015991,True,False
2445,0.15315937995910645,0.10526716709136963,0.10526716709136963,0.15315937995910645,True,False
2446,0.2635654807090759,0.1527990698814392,0.1527990698814392,0.2635654807090759,True,False
2447,0.07927721738815308,0.05572402477264404,0.05572402477264404,0.07927721738815308,True,False
2448,0.15134578943252563,0.07210463285446167,0.07210463285446167,0.15134578943252563,True,False
2449,0.15588998794555664,0.12419116497039795,0.12419116497039795,0.15588998794555664,True,False
2450,0.11670732498168945,0.07870620489120483,0.07870620489120483,0.11670732498168945,True,False
2451,0.17129158973693848,0.15923386812210083,0.15923386812210083,0.17129158973693848,True,False
2452,0.1952640414237976,0.12174874544143677,0.12174874544143677,0.1952640414237976,True,False
2453,0.09881317615509033,0.0598909854888916,0.0598909854888916,0.09881317615509033,True,False
2454,0.14336562156677246,0.07349205017089844,0.07349205017089844,0.14336562156677246,True,False
2455,0.1209251880645752,0.0921134352684021,0.0921134352684021,0.1209251880645752,True,False
