,break,car,man,stop,truck,woman
break,1.0000000000000002,0.996423160878036,0.9968837099868944,0.9996145862724739,0.9962105026262027,0.9977283745798529
car,0.996423160878036,1.0000000000000004,0.9983496128033655,0.9968405932229643,0.999523713501262,0.9981932393523478
man,0.9968837099868944,0.9983496128033655,1.0000000000000004,0.9970030552136296,0.9984898108796957,0.9993721171097535
stop,0.9996145862724739,0.9968405932229643,0.9970030552136296,1.0000000000000002,0.9965795097284026,0.9977536395488783
truck,0.9962105026262027,0.999523713501262,0.9984898108796957,0.9965795097284026,1.0000000000000007,0.9982165567097059
woman,0.9977283745798529,0.9981932393523478,0.9993721171097535,0.9977536395488783,0.9982165567097059,1.0
