,car,glass,plate,truck,Vehicles,Dinnerware,closer2vehicles,closer2dinnerware,,,,,c2v,c2d
0,0.001897573,0.002569377,0.002299964,0.002498567,0.00219807,0.002434671,TRUE,FALSE,,1,0,,5685,4315
1,0.004909873,0.002744973,0.002961516,0.004303396,0.004606634,0.002853245,FALSE,TRUE,,0,1,,,
2,0.002126515,0.003093183,0.003065825,0.002120852,0.002123684,0.003079504,TRUE,FALSE,,1,0,,,
3,0.002546489,0.002154529,0.003123343,0.002519786,0.002533138,0.002638936,TRUE,FALSE,,1,0,,,
4,0.004480243,0.003748417,0.004188061,0.003555,0.004017621,0.003968239,FALSE,TRUE,,0,1,,,
5,0.002417803,0.00274235,0.002945006,0.002776325,0.002597064,0.002843678,TRUE,FALSE,,1,0,,,
6,0.002902687,0.004756451,0.004041314,0.00265336,0.002778023,0.004398882,TRUE,FALSE,,1,0,,,
7,0.002094507,0.002315462,0.002607346,0.00224936,0.002171934,0.002461404,TRUE,FALSE,,1,0,,,
8,0.002171636,0.001864851,0.002000034,0.001613677,0.001892656,0.001932442,TRUE,FALSE,,1,0,,,
9,0.00354892,0.002575994,0.003245413,0.002389967,0.002969444,0.002910703,FALSE,TRUE,,0,1,,,
10,0.00126344,0.001616836,0.001532793,0.002113163,0.001688302,0.001574814,FALSE,TRUE,,0,1,,,
11,0.002404332,0.002433419,0.002806544,0.001500368,0.00195235,0.002619982,TRUE,FALSE,,1,0,,,
12,0.001880109,0.004729152,0.00339514,0.002629638,0.002254874,0.004062146,TRUE,FALSE,,1,0,,,
13,0.004247069,0.004093468,0.002661765,0.002938688,0.003592879,0.003377616,FALSE,TRUE,,0,1,,,
14,0.002484679,0.002294779,0.001522899,0.003324807,0.002904743,0.001908839,FALSE,TRUE,,0,1,,,
15,0.002560973,0.002741933,0.003113031,0.002224684,0.002392828,0.002927482,TRUE,FALSE,,1,0,,,
16,0.002917945,0.002306283,0.003325522,0.002960443,0.002939194,0.002815902,FALSE,TRUE,,0,1,,,
17,0.002900124,0.00301522,0.004690528,0.003765166,0.003332645,0.003852874,TRUE,FALSE,,1,0,,,
18,0.008194804,0.00639528,0.006136537,0.003838241,0.006016523,0.006265908,TRUE,FALSE,,1,0,,,
19,0.002256393,0.002714932,0.002639174,0.002382398,0.002319396,0.002677053,TRUE,FALSE,,1,0,,,
20,0.002227545,0.002186298,0.002938211,0.002281964,0.002254754,0.002562255,TRUE,FALSE,,1,0,,,
21,0.003200829,0.00291121,0.0031932,0.003385127,0.003292978,0.003052205,FALSE,TRUE,,0,1,,,
22,0.002285719,0.003858924,0.004201949,0.002666891,0.002476305,0.004030436,TRUE,FALSE,,1,0,,,
23,0.002399445,0.003708124,0.002618909,0.002515972,0.002457708,0.003163517,TRUE,FALSE,,1,0,,,
24,0.003532171,0.002250969,0.002973914,0.003854275,0.003693223,0.002612442,FALSE,TRUE,,0,1,,,
25,0.003110111,0.00275749,0.002804518,0.001866817,0.002488464,0.002781004,TRUE,FALSE,,1,0,,,
26,0.002853155,0.002755284,0.003564715,0.003712118,0.003282636,0.00316,FALSE,TRUE,,0,1,,,
27,0.004367709,0.004621685,0.004212797,0.004899859,0.004633784,0.004417241,FALSE,TRUE,,0,1,,,
28,0.002368152,0.003984034,0.003536046,0.002500474,0.002434313,0.00376004,TRUE,FALSE,,1,0,,,
29,0.00414449,0.002421618,0.002323925,0.002631247,0.003387868,0.002372772,FALSE,TRUE,,0,1,,,
