,break,car,man,stop,truck,woman
break,1.0000000000000002,0.30453864174898837,0.313818249485053,0.4680832265295972,0.3553893710070227,0.3243555819473618
car,0.30453864174898837,1.0,0.3434508754551347,0.3747620490805621,0.36101296482509604,0.31729499098966374
man,0.313818249485053,0.3434508754551347,1.0000000000000002,0.3577146083617406,0.33208632647735814,0.3980062823309208
stop,0.4680832265295972,0.3747620490805621,0.3577146083617406,1.0000000000000002,0.2891702253645321,0.34963522297711286
truck,0.3553893710070227,0.36101296482509604,0.33208632647735814,0.2891702253645321,1.0000000000000004,0.3490915195011687
woman,0.3243555819473618,0.31729499098966374,0.3980062823309208,0.34963522297711286,0.3490915195011687,1.0000000000000004
